delay,,condition,key_resp.rt,,expected,,unexpected
0.7,,exp,0.3615428,,,,
0.7,,exp,2.370195,,,,
0.7,,exp,1.2691503,,,,
0.7,,exp,0.3322618,,,,
0.7,,exp,1.3627353,,,,
0.7,,exp,1.1043294,,,,
0.7,,exp,17.8728435,,,,
0.7,,exp,0.0656424,,,,
0.7,,exp,0.3615428,,,,
0.7,,exp,2.370195,,,,
0.7,,exp,1.2691503,,,,
0.7,,exp,0.3322618,,,,
0.1,,unexp,0.8089577,,,,
0.1,,unexp,0.34706,,,,
0.1,,unexp,0.4988468,,,,
0.1,,unexp,0.3147411,,,,
0.1,,unexp,0.3524174,,,,
0.1,,unexp,0.5191403,,,,
0.1,,unexp,0.3672659,,,,
0.1,,unexp,2.7585238,,,,
0.1,,unexp,0.5431093,,,,
0.1,,unexp,0.6449813,,,,
0.1,,unexp,0.6168676,,,,
0.1,,unexp,0.3296835,,,,
0.1,,unexp,0.9654172,,,,
0.1,,unexp,0.2836336,,,,
0.1,,unexp,0.3027414,,,,
0.1,,unexp,0.3671586,,,,
0.1,,unexp,0.3098667,,,,
0.1,,unexp,0.374513,,,,
0.1,,unexp,0.0093057,,,,
0.1,,unexp,0.2821872,,,,
0.1,,unexp,1.8034638,,,,
0.1,,unexp,0.0638505,,,,
0.1,,unexp,0.7744596,,,,
0.1,,unexp,0.2586355,,,,
0.1,,unexp,0.2753747,,,,
0.1,,unexp,0.2860703,,,,
0.1,,unexp,1.5133635,,,,
0.1,,unexp,2.4582142,,,,
0.1,,unexp,0.3309608,,,,
0.1,,unexp,0.3428319,,,,
0.1,,unexp,0.4824596,,,,
0.1,,unexp,0.9978396,,,,
0.1,,unexp,0.3027414,,,,
0.1,,unexp,0.34706,,,,
0.1,,unexp,0.2981744,,,,
0.1,,unexp,0.2533457,,,,
0.1,,unexp,0.34706,,,,
0.4,,unexp,0.7094482,,,,
0.4,,unexp,0.6442696,,,,
0.4,,unexp,1.9766379,,,,
0.4,,unexp,0.3525126,,,,
0.4,,unexp,0.3423878,,,,
0.4,,unexp,0.997033,,,,
0.4,,unexp,0.5293738,,,,
0.4,,unexp,0.9320065,,,,
0.4,,unexp,0.217124,,,,
0.4,,unexp,0.3251314,,,,
0.4,,unexp,0.4975813,,,,
0.4,,unexp,0.5157753,,,,
0.4,,unexp,0.9987864,,,,
0.4,,unexp,1.1058743,,,,
0.4,,unexp,0.853633,,,,
0.4,,unexp,0.3289047,,,,
0.4,,unexp,0.3299343,,,,
0.4,,unexp,4.6175456,,,,
0.4,,unexp,0.3440836,,,,
0.4,,unexp,0.4964427,,,,
0.4,,unexp,0.3860755,,,,
0.4,,unexp,0.4324102,,,,
0.4,,unexp,0.4775969,,,,
0.4,,unexp,0.5279921,,,,
0.4,,unexp,0.1742381,,,,
0.4,,unexp,0.7681436,,,,
0.4,,unexp,0.3115545,,,,
0.4,,unexp,1.6153899,,,,
0.4,,unexp,0.0798584,,,,
0.4,,unexp,0.853633,,,,
0.4,,unexp,0.3289047,,,,
0.4,,unexp,0.6442696,,,,
0.4,,unexp,1.5034771,,,,
0.4,,unexp,0.4191619,,,,
